,unit,time,os_1,os_2,sm_2,sm_3,sm_4,sm_6,sm_7,sm_8,sm_9,sm_11,sm_12,sm_13,sm_14,sm_15,sm_17,sm_20,sm_21,cycle
65,1,66,-0.0007,-0.0004,642.5,1588.5,1399.52,21.61,554.0,2388.06,9059.45,47.14,521.76,2388.05,8128.32,8.3911,391,38.95,23.3152,66
66,1,67,0.0016,-0.0004,642.33,1590.22,1403.02,21.61,554.31,2388.1,9050.24,47.39,522.64,2388.08,8134.07,8.3925,393,38.97,23.291,67
67,1,68,-0.0018,0.0,642.51,1582.06,1404.42,21.61,554.04,2388.1,9051.78,47.36,521.72,2388.07,8132.39,8.4242,392,38.95,23.3174,68
68,1,69,-0.0022,0.0005,642.44,1590.7,1401.24,21.61,554.65,2388.07,9050.59,47.41,522.22,2388.1,8129.13,8.4292,392,39.0,23.3742,69
69,1,70,-0.0005,0.0002,642.22,1584.02,1402.78,21.61,554.01,2388.11,9053.43,47.41,521.93,2388.12,8130.36,8.4279,392,38.86,23.4513,70
70,1,71,0.0016,-0.0003,642.21,1580.41,1403.09,21.61,554.06,2388.03,9046.09,47.3,521.72,2388.09,8134.28,8.423,391,38.8,23.3881,71
71,1,72,-0.0017,0.0001,642.41,1579.25,1406.81,21.61,553.76,2388.07,9054.42,47.27,521.97,2388.09,8133.95,8.3951,391,38.84,23.3085,72
72,1,73,-0.0012,-0.0002,642.29,1592.04,1397.93,21.61,553.88,2388.03,9049.64,47.29,522.04,2388.1,8129.85,8.404,391,39.03,23.3975,73
73,1,74,0.0027,0.0001,642.96,1584.65,1401.48,21.61,554.03,2388.07,9045.85,47.58,522.25,2387.97,8132.67,8.4135,392,38.8,23.382,74
74,1,75,0.0009,-0.0004,641.96,1582.32,1394.82,21.61,553.6,2388.07,9042.32,47.22,521.77,2388.11,8130.13,8.4621,392,38.89,23.3521,75
75,1,76,-0.0015,0.0002,642.21,1589.21,1398.94,21.61,553.66,2388.02,9056.55,47.44,521.58,2388.03,8136.44,8.3996,390,39.02,23.4428,76
76,1,77,0.0022,0.0004,642.55,1586.3,1400.97,21.61,554.61,2388.06,9046.44,47.41,521.6,2388.08,8135.25,8.453,393,38.99,23.275,77
77,1,78,0.004,0.0002,641.99,1580.76,1404.1,21.61,553.47,2388.08,9042.37,47.4,522.28,2388.16,8133.91,8.3793,392,38.88,23.3486,78
78,1,79,0.0022,-0.0002,642.12,1582.46,1403.93,21.61,553.77,2388.04,9047.86,47.35,521.85,2388.13,8135.4,8.4132,394,38.9,23.3121,79
79,1,80,-0.0002,-0.0004,641.94,1591.96,1393.58,21.61,553.91,2388.06,9043.67,47.64,521.52,2388.1,8134.66,8.4235,392,38.89,23.3613,80
80,1,81,-0.0018,-0.0004,642.73,1584.82,1402.04,21.61,553.88,2388.1,9045.31,47.43,521.66,2388.05,8128.87,8.4247,392,38.77,23.373,81
81,1,82,-0.0012,0.0001,642.04,1589.07,1399.17,21.61,554.18,2388.1,9048.22,47.25,521.95,2388.03,8134.04,8.3986,393,38.89,23.2713,82
82,1,83,0.0004,0.0005,642.66,1588.05,1406.38,21.61,553.49,2388.08,9049.08,47.22,521.93,2388.05,8131.32,8.4128,391,38.8,23.3274,83
83,1,84,0.0005,0.0002,642.64,1585.52,1406.6,21.61,553.91,2388.05,9050.47,47.38,521.54,2388.06,8131.54,8.4139,392,38.73,23.2653,84
84,1,85,0.0025,0.0003,642.28,1590.12,1405.96,21.61,554.4,2388.01,9056.08,47.36,522.3,2388.05,8135.31,8.4499,392,39.01,23.284,85
85,1,86,-0.0012,0.0004,641.84,1588.8,1403.56,21.61,553.69,2388.1,9047.26,47.38,521.82,2388.09,8130.06,8.4173,394,38.94,23.3945,86
86,1,87,0.0,-0.0004,642.33,1586.69,1413.1,21.61,554.1,2388.14,9050.52,47.34,521.43,2388.06,8130.41,8.4326,391,38.88,23.3402,87
87,1,88,0.0029,0.0003,641.96,1581.29,1406.09,21.61,554.48,2388.07,9046.73,47.46,522.2,2388.04,8131.47,8.4586,392,38.9,23.3086,88
88,1,89,0.0008,-0.0001,642.24,1584.73,1402.22,21.61,553.91,2388.05,9055.24,47.46,521.55,2388.08,8135.15,8.4489,392,38.95,23.3288,89
89,1,90,0.0017,-0.0001,642.67,1584.38,1412.93,21.61,552.88,2388.1,9051.27,47.32,521.49,2388.09,8129.72,8.3961,391,38.98,23.4712,90
90,1,91,0.0025,-0.0004,641.98,1584.84,1404.76,21.61,553.54,2388.04,9050.72,47.32,521.55,2388.1,8134.4,8.3949,394,39.11,23.3842,91
91,1,92,0.001,-0.0002,642.89,1590.03,1400.77,21.61,553.81,2388.14,9048.36,47.45,521.91,2388.05,8131.39,8.3982,392,38.99,23.3522,92
92,1,93,0.0032,0.0002,642.85,1593.74,1408.48,21.61,554.07,2388.07,9047.87,47.46,521.43,2388.08,8133.15,8.421,392,38.86,23.2477,93
93,1,94,-0.0021,0.0002,642.45,1583.27,1404.94,21.61,553.86,2388.15,9045.83,47.48,521.61,2388.07,8132.4,8.4524,393,38.85,23.3758,94
94,1,95,0.0019,0.0003,642.86,1577.6,1410.1,21.61,553.91,2388.02,9048.85,47.38,521.92,2388.02,8131.63,8.4575,394,38.76,23.3269,95
95,1,96,-0.0034,0.0001,642.19,1584.07,1395.16,21.61,553.34,2388.07,9048.71,47.39,521.66,2388.06,8130.69,8.4311,392,38.88,23.3255,96
96,1,97,0.0035,-0.0003,642.07,1595.77,1407.81,21.61,553.4,2388.09,9046.1,47.46,521.67,2388.06,8128.74,8.4105,392,39.01,23.2963,97
97,1,98,0.0006,0.0004,642.0,1591.11,1404.56,21.61,552.75,2388.06,9045.49,47.37,522.31,2388.06,8127.89,8.4012,391,38.96,23.2554,98
98,1,99,-0.0005,-0.0,642.46,1592.73,1406.13,21.61,553.76,2388.08,9045.14,47.4,521.42,2388.1,8131.77,8.4481,393,38.82,23.2323,99
99,1,100,-0.0021,-0.0003,642.22,1589.63,1411.35,21.61,554.22,2388.07,9045.72,47.64,521.55,2388.08,8132.49,8.4241,392,38.93,23.409,100
100,1,101,0.0012,0.0003,642.75,1584.18,1403.41,21.61,553.37,2388.06,9052.3,47.62,521.89,2388.08,8125.97,8.4353,391,38.75,23.4149,101
101,1,102,0.0017,0.0005,642.85,1589.11,1403.42,21.61,553.42,2388.15,9051.36,47.49,521.38,2388.05,8130.4,8.4561,393,38.94,23.3653,102
102,1,103,-0.0013,0.0001,642.21,1581.27,1403.21,21.61,553.64,2388.09,9053.28,47.57,521.41,2388.1,8124.4,8.4263,392,38.69,23.4289,103
103,1,104,-0.0001,0.0001,642.29,1590.63,1406.25,21.61,553.66,2388.08,9044.73,47.34,522.38,2388.09,8131.89,8.4021,392,38.96,23.3393,104
104,1,105,0.0024,0.0004,642.01,1588.28,1403.22,21.61,553.11,2388.09,9048.36,47.31,521.81,2388.08,8134.01,8.4326,393,38.77,23.3857,105
105,1,106,0.0,0.0001,642.68,1589.05,1404.45,21.61,553.6,2388.08,9049.82,47.44,521.51,2388.09,8126.38,8.4664,392,39.08,23.4148,106
106,1,107,-0.0012,-0.0001,642.53,1595.13,1407.73,21.61,553.74,2388.07,9048.68,47.35,521.75,2388.07,8132.4,8.4241,396,39.01,23.4086,107
107,1,108,0.0008,0.0001,643.49,1585.91,1399.47,21.61,554.43,2388.14,9047.03,47.61,521.52,2388.03,8131.52,8.4133,393,38.75,23.3032,108
108,1,109,-0.0011,-0.0003,642.49,1586.45,1409.1,21.61,553.59,2388.1,9051.13,47.58,521.62,2388.11,8130.97,8.3757,394,39.05,23.3561,109
109,1,110,-0.0,0.0004,642.55,1590.01,1401.27,21.61,554.08,2388.13,9051.4,47.55,522.01,2388.12,8127.16,8.4638,393,39.06,23.2951,110
110,1,111,0.0008,0.0004,642.67,1584.38,1408.11,21.61,553.49,2388.12,9051.64,47.62,521.53,2388.14,8132.4,8.4447,392,38.92,23.2135,111
111,1,112,0.0005,0.0003,642.66,1586.46,1401.84,21.61,553.19,2388.06,9051.28,47.22,521.9,2388.08,8131.52,8.4445,394,38.84,23.3207,112
112,1,113,0.0007,0.0001,642.68,1590.85,1406.59,21.61,552.91,2388.1,9053.15,47.46,521.75,2388.16,8129.32,8.458,393,38.9,23.3101,113
113,1,114,0.0003,0.0004,642.31,1588.42,1402.97,21.61,554.29,2388.07,9046.58,47.58,521.68,2388.15,8132.36,8.429,394,38.89,23.3754,114
114,1,115,-0.0017,0.0005,642.66,1594.84,1406.6,21.61,554.13,2388.11,9050.37,47.43,521.36,2388.12,8127.6,8.4345,393,38.93,23.3022,115
115,1,116,-0.002,-0.0003,642.64,1580.31,1401.99,21.61,554.4,2388.08,9049.71,47.43,521.6,2388.05,8134.46,8.4059,394,39.03,23.3512,116
116,1,117,0.0005,0.0004,642.38,1589.77,1409.35,21.61,554.59,2388.1,9049.61,47.52,521.22,2388.1,8126.12,8.4256,391,38.73,23.1766,117
117,1,118,-0.0006,-0.0004,642.34,1585.67,1409.34,21.61,554.25,2388.1,9051.12,47.55,521.31,2388.12,8135.21,8.4197,393,38.88,23.2966,118
118,1,119,0.0013,0.0005,642.67,1596.8,1404.46,21.61,553.77,2388.1,9045.89,47.55,521.46,2388.09,8123.85,8.4194,394,39.01,23.3188,119
119,1,120,-0.0024,0.0005,642.81,1593.78,1407.68,21.61,553.66,2388.1,9048.72,47.6,521.34,2388.1,8125.57,8.4029,393,38.81,23.3061,120
120,1,121,-0.0033,0.0004,642.63,1593.56,1411.9,21.61,553.7,2388.07,9040.97,47.44,521.3,2388.04,8133.94,8.4263,394,38.63,23.422,121
121,1,122,0.0026,-0.0001,643.3,1593.68,1413.97,21.61,553.43,2388.15,9042.39,47.6,520.92,2388.12,8131.81,8.4256,393,38.86,23.2793,122
122,1,123,0.0016,-0.0002,643.39,1586.66,1403.04,21.61,552.64,2388.12,9049.44,47.41,521.6,2388.17,8129.72,8.4396,392,38.9,23.292,123
123,1,124,0.0025,0.0002,642.48,1587.14,1402.28,21.61,552.26,2388.13,9053.03,47.55,521.4,2388.13,8133.82,8.4416,393,38.8,23.2341,124
124,1,125,-0.0004,0.0005,642.96,1585.47,1406.42,21.61,552.44,2388.13,9046.16,47.63,521.57,2388.11,8126.33,8.4079,394,38.68,23.3039,125
125,1,126,0.0016,0.0001,642.49,1582.64,1418.5,21.61,553.72,2388.05,9049.11,47.49,521.35,2388.08,8130.94,8.4378,392,38.85,23.2289,126
126,1,127,-0.001,0.0002,642.99,1586.9,1399.49,21.61,553.81,2388.09,9047.9,47.63,521.34,2388.1,8133.0,8.4626,393,38.91,23.2772,127
127,1,128,-0.0006,0.0003,642.47,1593.87,1407.06,21.61,552.74,2388.13,9056.59,47.62,521.96,2388.16,8132.08,8.4413,393,38.85,23.2641,128
128,1,129,-0.0033,0.0003,642.41,1591.33,1408.42,21.61,552.42,2388.09,9046.08,47.61,522.02,2388.13,8127.33,8.4681,393,38.84,23.2656,129
129,1,130,-0.0007,0.0002,642.7,1585.9,1412.25,21.61,552.66,2388.13,9042.97,47.46,521.49,2388.07,8125.29,8.3938,394,38.71,23.3461,130
130,1,131,0.0002,-0.0001,643.01,1585.78,1413.25,21.61,553.7,2388.11,9045.1,47.7,521.45,2388.13,8126.38,8.4328,391,38.73,23.3435,131
131,1,132,0.0032,-0.0001,643.19,1596.06,1405.76,21.61,553.16,2388.17,9044.04,47.56,521.64,2388.16,8128.92,8.4227,393,38.53,23.3186,132
132,1,133,0.0032,-0.0002,642.45,1592.64,1410.11,21.61,553.82,2388.11,9050.95,47.57,521.23,2388.09,8130.93,8.4604,394,38.95,23.2521,133
133,1,134,-0.0014,0.0,642.85,1583.62,1402.67,21.61,553.2,2388.11,9046.16,47.75,521.52,2388.13,8131.3,8.4293,393,38.68,23.2833,134
134,1,135,-0.0017,0.0001,642.45,1585.55,1406.83,21.61,553.09,2388.14,9050.65,47.34,520.99,2388.12,8129.34,8.4242,392,38.85,23.2744,135
135,1,136,0.003,-0.0001,642.84,1584.72,1404.39,21.61,554.18,2388.06,9040.89,47.43,521.54,2388.11,8130.43,8.4469,393,38.76,23.1699,136
136,1,137,-0.0011,0.0,642.43,1594.69,1405.15,21.61,553.39,2388.14,9040.55,47.89,521.63,2388.12,8128.81,8.449,394,38.87,23.2593,137
137,1,138,-0.0011,0.0001,642.79,1589.82,1413.34,21.61,552.91,2388.11,9049.64,47.4,521.57,2388.18,8129.67,8.4208,392,39.0,23.3664,138
138,1,139,-0.0014,0.0005,643.11,1592.28,1412.6,21.61,553.25,2388.06,9044.81,47.67,521.03,2388.15,8124.97,8.4621,394,38.88,23.3422,139
139,1,140,-0.0006,-0.0001,643.05,1590.89,1408.36,21.61,552.15,2388.17,9055.85,47.51,521.27,2388.05,8130.27,8.4397,393,38.82,23.3704,140
140,1,141,-0.0023,0.0005,642.39,1590.02,1415.25,21.61,553.45,2388.13,9050.86,47.49,521.06,2388.16,8120.93,8.4641,394,39.02,23.2382,141
141,1,142,0.0026,0.0002,642.51,1595.29,1413.42,21.61,553.11,2388.1,9046.61,47.59,520.44,2388.18,8124.87,8.4291,392,38.71,23.2816,142
142,1,143,-0.0005,-0.0003,642.77,1593.1,1404.21,21.61,553.62,2388.13,9050.63,47.52,520.98,2388.11,8126.81,8.4419,393,38.79,23.2305,143
143,1,144,0.0025,-0.0004,643.09,1591.89,1405.76,21.61,553.77,2388.17,9049.33,47.57,521.11,2388.17,8125.47,8.4601,393,38.75,23.2249,144
144,1,145,-0.0004,-0.0001,642.95,1594.92,1409.63,21.61,553.03,2388.13,9046.92,47.54,521.13,2388.15,8130.91,8.4644,395,38.67,23.149,145
145,1,146,0.0002,-0.0003,642.72,1586.75,1408.82,21.61,552.6,2388.12,9045.99,47.63,521.13,2388.12,8129.19,8.4312,392,38.69,23.3233,146
146,1,147,0.0047,0.0001,642.25,1594.85,1409.96,21.61,553.09,2388.14,9041.24,47.8,520.92,2388.12,8126.13,8.4428,393,38.77,23.2684,147
147,1,148,0.001,-0.0004,643.02,1590.03,1411.89,21.61,552.84,2388.16,9040.93,47.49,521.08,2388.15,8124.48,8.4276,392,38.77,23.2498,148
148,1,149,0.0025,0.0004,642.9,1592.78,1410.7,21.61,552.54,2388.17,9057.24,47.83,521.13,2388.15,8124.34,8.4731,394,38.77,23.2565,149
149,1,150,0.001,-0.0003,643.06,1589.01,1409.22,21.61,553.57,2388.12,9044.76,47.6,520.5,2388.21,8122.99,8.4726,394,38.68,23.2082,150
150,1,151,-0.0019,-0.0001,642.82,1592.39,1411.94,21.61,552.41,2388.14,9048.12,47.58,520.94,2388.22,8127.21,8.4612,394,38.56,23.2277,151
151,1,152,0.0009,-0.0001,642.67,1598.6,1420.83,21.61,552.62,2388.18,9043.9,47.72,520.39,2388.19,8119.0,8.4572,395,38.77,23.2369,152
152,1,153,0.0011,-0.0004,642.99,1589.17,1414.56,21.61,552.68,2388.14,9049.43,47.74,520.69,2388.17,8124.14,8.4435,393,38.78,23.1719,153
153,1,154,-0.0012,0.0,642.81,1597.03,1416.07,21.61,552.57,2388.14,9049.08,47.73,520.72,2388.18,8129.24,8.4794,394,38.82,23.2366,154
154,1,155,-0.0033,0.0002,642.83,1590.4,1414.89,21.61,552.89,2388.16,9049.56,47.61,521.23,2388.17,8120.41,8.4729,394,38.68,23.2749,155
155,1,156,-0.002,0.0003,643.04,1585.61,1421.23,21.61,553.24,2388.26,9044.21,47.58,520.75,2388.16,8128.48,8.4432,395,38.77,23.2791,156
156,1,157,-0.0018,0.0002,642.2,1598.04,1412.47,21.61,552.32,2388.14,9053.12,47.72,520.94,2388.17,8125.07,8.4328,392,38.67,23.2354,157
157,1,158,-0.0023,0.0001,642.88,1596.82,1410.09,21.61,553.19,2388.2,9049.22,47.68,520.88,2388.22,8126.33,8.4368,394,38.75,23.2894,158
158,1,159,-0.0006,0.0001,642.89,1589.54,1420.37,21.61,552.18,2388.13,9048.06,47.76,520.65,2388.23,8127.61,8.4403,394,38.76,23.253,159
159,1,160,-0.0006,-0.0004,643.45,1590.65,1418.08,21.61,551.87,2388.21,9045.42,47.84,520.47,2388.22,8122.68,8.4433,396,38.52,23.2817,160
160,1,161,0.0008,0.0001,643.0,1594.2,1417.31,21.61,552.8,2388.18,9048.06,47.77,520.47,2388.18,8126.97,8.4405,394,38.66,23.2962,161
161,1,162,-0.0005,0.0004,643.15,1592.22,1423.48,21.61,552.68,2388.15,9044.45,47.79,520.44,2388.2,8123.77,8.5015,394,38.78,23.1538,162
162,1,163,0.0003,-0.0004,642.85,1600.54,1421.09,21.61,552.41,2388.2,9049.24,47.89,520.3,2388.2,8124.06,8.5129,393,38.65,23.1419,163
